Location ID,Location,Address,Municipality,Rollup,Zone,Parking Type,Vendor,Rate,Spaces - Total,Spaces - Core,Spaces - One-Way,Utilization - Core,Utilization - One-Way,Latitude,Longitude,Core Util. Cat.
96027,100 Clarendon St - Clarendon St Garage - Boston,100 Clarendon Street,Boston,Boston,Back Bay,parking garage,VPNE Parking Solutions,$390.00,6,4,2,32%,MIDDLE 50%,42.34818951,-71.07444317,29%-35%
1414917875,100 Heard St - One North Boston,100 Heard St,Chelsea,Boston,Chelsea,surface lot,$0.00,$0.00,2,1,1,25%,#N/A,42.39827548,-71.03624282,0%-28%
1835925,100 Necco St (On-Street),100 Necco St,Boston,Boston,South Boston,on street private,VPNE Parking Solutions,$350.00,4,0,4,#N/A,TOP 25%,42.3487067,-71.0511562,#N/A
498996729,1000 Cambridge St (Rear Lot),476 Windsor St ,Cambridge,Boston,Cambridge East/Kendall-MIT,surface lot,City of Cambridge,$50.00,3,1,2,33%,TOP 25%,42.37253792,-71.09348349,29%-35%
156428695,1035 Cambridge St,1035 Cambridge St,Cambridge,Boston,Cambridge East/Kendall-MIT,surface lot,432 Columbia Street Condominium Trust,$175.00,3,1,2,38%,MIDDLE 50%,42.3730802,-71.09419495,36%-42%
1289515689,11 Damrell St,11 Damrell St,Boston,Boston,South Boston,surface lot,"Damrell Properties, LLC",$175.00,6,1,5,15%,BOTTOM 25%,42.33319995,-71.05655267,0%-28%
196698895,11 Elmer St,11 Elmer St,Cambridge,Boston,Cambridge Central/Harvard,surface lot,"Calcite, LLC",$225.00,4,2,2,46%,MIDDLE 50%,42.36562521,-71.11435443,43%-100%
95730,11 Springfield St - Ole Mexican Grill,11 Springfield St,Cambridge,Boston,Cambridge East/Kendall-MIT,surface lot,City of Cambridge,$250.00,3,2,1,47%,MIDDLE 50%,42.374064,-71.100155,43%-100%
65377170,110 Babcock St,110 Babcock St,Brookline,Boston,Brookline,surface lot,The Hamilton Company,$225.00,3,2,1,29%,MIDDLE 50%,42.346998,-71.1219599,29%-35%
93895248,110 Queensberry St (Rear Lot),106 Queensberry St,Boston,Boston,Fenway/Longwood Medical Area,surface lot,The Copley Group,$370.00,5,2,3,31%,TOP 25%,42.34128145,-71.09976211,29%-35%
117021374,116 Sycamore St - Somerville (Rear Lot),116 Sycamore St,Somerville,Boston,East Somerville/Winter Hill,surface lot,112 Sycamore Street LLC,$50.00,2,1,1,46%,MIDDLE 50%,42.39233189,-71.09916508,43%-100%
136519695,12 South St - Loring Greenough House (Rear Lot),12 South St,Jamaica Plain,Boston,Jamaica Plain,surface lot,Jamaica Plain Tuesday Club,$150.00,4,2,2,30%,MIDDLE 50%,42.30939094,-71.11483991,29%-35%
1711494253,1200 Fellsway - Dalton's Gulf Service,1200 Fellsway,Malden,Boston,Malden,surface lot,$0.00,$175.00,3,0,3,#N/A,#N/A,42.42115239,-71.08647888,#N/A
284652985,1223 Beacon St - Brookline (Rear Lot),157 St Paul St ,Brookline,Boston,Brookline,surface lot,Chestnut Hill Realty,$195.00,3,2,1,19%,MIDDLE 50%,42.342807,-71.1172318,0%-28%
554732156,125 Western Ave - iLab - Harvard University,125 Western Ave,Allston,Boston,Allston/BU,surface lot,Harvard University,$0.00,5,1,4,20%,BOTTOM 25%,42.36392951,-71.12467209,0%-28%
1100787655,134 Summer St,134 Summer St,Malden,Boston,Malden,surface lot,134 Summer St LLC,$125.00,3,1,2,45%,MIDDLE 50%,42.43163077,-71.07493556,43%-100%
1459635592,138 Arlington St - Boston,138 Arlington St,Boston,Boston,South End,surface lot,Standard Parking Corporation,$425.00,15,7,8,17%,MIDDLE 50%,42.34897173,-71.06938873,0%-28%
35143620,139 W Newton St (Rear Alley),139 West Newton Street,Boston,Boston,South End,alley,Ms. Julie Mackie,$300.00,1,0,1,#N/A,MIDDLE 50%,42.3421784,-71.07702613,#N/A
165107084,140 N Beacon St - Brighton,140 North Beacon St,Brighton,Boston,Brighton,surface lot,The Hamilton Company,$101.67,3,2,1,14%,TOP 25%,42.35511108,-71.14558623,0%-28%
315509736,146 W Concord St (Rear Alley),146 West Concord St,Boston,Boston,South End,alley,146 Concord LLC,$250.00,2,0,2,#N/A,MIDDLE 50%,42.33967245,-71.07765913,#N/A
305932372,1493 Cambridge St - Cambridge Hospital,1493 Cambridge St,Cambridge,Boston,Cambridge Central/Harvard,surface lot,Cambridge Hospital,$0.00,1,0,1,17%,MIDDLE 50%,42.3745055,-71.1041772,0%-28%
1015828603,15 Chester St (Rear Lot),15 Chester St,Cambridge,Boston,Cambridge North and West,surface lot,The Hamilton Company,$135.00,6,4,2,35%,MIDDLE 50%,42.39396581,-71.12491161,29%-35%
93748485,150 Orleans St - Gumball Factory Lofts,131 Orleans St,Boston,Boston,East Boston,surface lot,Gumball Condominiums,$125.00,3,2,1,49%,MIDDLE 50%,42.370097,-71.03569,43%-100%
