Location,Latitude,Longitude,Parking_Type
1 Bennett St - Charles Hotel,42.37254899,-71.12316452,parking garage
1 Kilmarnock St - Trilogy Garage,42.344434,-71.100354,parking garage
100 Belvidere St - Service Entrance B - Prudential Ctr,42.34646629,-71.08292588,parking garage
100 Cambridge St - Boston,42.36028895,-71.06165367,parking garage
100 Clarendon St - Clarendon St Garage - Boston,42.34818951,-71.07444317,parking garage
100 High St - Boston,42.35418337,-71.0554719,parking garage
12 Stoneholm St,42.34569596,-71.08861899,parking garage
125 High St - Boston,42.35571348,-71.05337575,parking garage
1250 Hancock St Garage,42.2528555,-71.0032186,parking garage
126 Dartmouth St - Dartmouth St Garage,42.34677866,-71.07576083,parking garage
13 Stillings St - Stillings St Garage,42.350491,-71.0472678,parking garage
131 Dartmouth St - Boston,42.34698908,-71.07556288,parking garage
1330 Boylston St,42.34425604,-71.09777838,parking garage
16 Fruit St - Fruit St Garage - MGH,42.36217557,-71.06871529,parking garage
2 Seaport Ln,42.34892959,-71.0407734,parking garage
20 Chapel St - Longwood Towers,42.34158067,-71.11058056,parking garage
209 Cambridge St - Charles River Plaza - Boston,42.3613245,-71.06634356,parking garage
225 Franklin St - Boston,42.35625118,-71.05441377,parking garage
25 Crescent St - Cronin's Landing Apts,42.37194873,-71.23789162,parking garage
26 Albany St - MIT (EV Charging Stn),42.36214709,-71.09240592,parking garage
275 Washington St - Pi Alley Garage,42.35814471,-71.05808588,parking garage
280 Congress St,42.35326332,-71.05305762,parking garage
33 Arch St ,42.35625914,-71.05886002,parking garage
35 Lomasney Way - Garden Garage,42.36501865,-71.06445493,parking garage
35 Northampton St,42.33386813,-71.07516601,parking garage
350 Kendall St - Kendall Sq Garage,42.36354431,-71.08205795,parking garage
355 Binney St - Kendall Cinema,42.36739052,-71.08974616,parking garage
375 Longwood Ave,42.33980219,-71.10801283,parking garage
4 Emerson Place - West End Garage,42.36444478,-71.06819696,parking garage
40 Webster St - Courtyard Marriott,42.34118893,-71.12282063,parking garage
400 Soldier's Field Rd - Allston Doubletree,42.35985125,-71.11804437,parking garage
415 Summer St - BCEC (EV Charging Stn),42.3462742,-71.04467121,parking garage
445 Artisan Way - AVA Somerville,42.3952753,-71.07814359,parking garage
45 E Newton St - James Ct Apts,42.337668,-71.072222,parking garage
45 University Rd - University Pl Garage,42.37258227,-71.12388796,parking garage
6 Avery St - Ritz Carlton,42.35324581,-71.0631685,parking garage
600 Commercial St - North End Garage - Boston,42.36732098,-71.05725074,parking garage
600 Commercial St - North End Garage - Boston (Zipvan),42.36718226,-71.05751896,parking garage
62 Staniford St - Charles River Park - Boston,42.3626355,-71.0641301,parking garage
660 Washington St Apts - Boston,42.35189082,-71.06265586,parking garage
745 Atlantic,42.350294,-71.057129,parking garage
75 State St,42.35893833,-71.05542093,parking garage
77 Ames St (EV Charging Stn),42.36364482,-71.08811511,parking garage
77 Village Way - Village at Brookline Apts,42.3336324,-71.11482587,parking garage
777 Memorial Dr - Courtyard Marriott,42.35882264,-71.11478602,parking garage
88 Constitution Rd - The Nautica,42.37263064,-71.05856985,parking garage
91 Exeter St - Prudential Ctr,42.34852907,-71.07914362,parking garage
Albany St/Portland St (EV Charging Stn),42.36199585,-71.09397852,parking garage
Alewife T,42.39598888,-71.14281412,parking garage
Ames St/Broadway,42.36337233,-71.08783403,parking garage
Ash St/Nassau St,42.3487822,-71.06339161,parking garage
Atlantic Ave/Milk St - Boston Harbor Garage,42.35851673,-71.05127253,parking garage
Beach St/Lincoln St,42.35138651,-71.05883002,parking garage
